schedule_id,group_id,classroom_name,classroom_code,weekday,start_hour,end_hour
235,5035,DarkTurquoise,101,3,12,14
236,5035,DarkTurquoise,101,6,12,14
237,247,MediumOrchid,346,4,18,20
238,247,MediumOrchid,346,1,18,20
239,635,Khaki,148,7,15,17
240,635,Khaki,148,6,15,17
241,4991,Cyan,272,7,15,17
242,4991,Cyan,272,4,15,17
243,1814,RosyBrown,391,4,13,15
244,1814,RosyBrown,391,2,13,15
245,1812,DarkKhaki,283,4,8,10
246,1812,DarkKhaki,283,6,8,10
247,4860,MediumPurple,250,7,9,11
248,4860,MediumPurple,250,1,9,11
249,2651,LightGreen,170,1,20,22
250,2651,LightGreen,170,3,20,22
251,3103,Lime,258,5,13,15
252,3103,Lime,258,4,13,15
253,957,SeaGreen,228,5,7,9
254,957,SeaGreen,228,2,7,9
255,4618,MistyRose,115,5,9,11
256,4618,MistyRose,115,7,9,11
257,3338,Wheat,350,3,6,8
258,3338,Wheat,350,5,6,8
259,3716,Beige,250,4,14,16
260,3716,Beige,250,5,14,16
261,1784,OliveDrab,345,5,7,9
262,1784,OliveDrab,345,3,7,9
263,3680,LightCoral,311,3,14,16
264,3680,LightCoral,311,4,14,16
265,1559,PapayaWhip,470,2,11,13
266,1559,PapayaWhip,470,5,11,13
267,2527,Gainsboro,264,1,18,20
268,2527,Gainsboro,264,4,18,20
269,2828,SeaGreen,407,3,20,22
270,2828,SeaGreen,407,1,20,22
271,3645,SeaGreen,200,7,16,18
272,3645,SeaGreen,200,5,16,18
273,2716,Yellow,445,4,7,9
274,2716,Yellow,445,2,7,9
275,82,Khaki,413,5,6,8
276,82,Khaki,413,3,6,8
277,3848,Lavender,211,3,9,11
278,3848,Lavender,211,5,9,11
279,5501,DarkCyan,161,1,6,8
280,5501,DarkCyan,161,6,6,8
281,1517,Gold,402,7,6,8
282,1517,Gold,402,2,6,8
283,5036,DarkBlue,424,6,15,17
284,5036,DarkBlue,424,3,15,17
285,3263,NavajoWhite,409,2,11,13
286,3263,NavajoWhite,409,1,11,13
287,4814,DarkTurquoise,195,5,19,21
288,4814,DarkTurquoise,195,7,19,21
289,5626,Cornsilk,371,3,14,16
290,5626,Cornsilk,371,6,14,16
291,525,Moccasin,285,7,18,20
292,525,Moccasin,285,5,18,20
293,1341,LightSeaGreen,452,5,17,19
294,1341,LightSeaGreen,452,3,17,19
295,575,DarkCyan,294,5,9,11
296,575,DarkCyan,294,2,9,11
297,2931,MediumSeaGreen,344,4,19,21
298,2931,MediumSeaGreen,344,3,19,21
299,4719,LimeGreen,270,4,17,19
300,4719,LimeGreen,270,7,17,19
301,1731,DimGray,101,2,7,9
302,1731,DimGray,101,6,7,9
303,5371,MediumSlateBlue,247,6,11,13
304,5371,MediumSlateBlue,247,5,11,13
305,3895,MediumSeaGreen,215,6,10,12
306,3895,MediumSeaGreen,215,7,10,12
307,3452,Brown,208,6,10,12
308,3452,Brown,208,3,10,12
309,4540,DarkGray,243,6,11,13
310,4540,DarkGray,243,7,11,13
311,383,Tan,493,1,19,21
312,383,Tan,493,6,19,21
313,2340,Gray,240,5,8,10
314,2340,Gray,240,6,8,10
315,92,Wheat,207,6,10,12
316,92,Wheat,207,5,10,12
317,2270,SlateGray,295,7,7,9
318,2270,SlateGray,295,1,7,9
319,132,LightSteelBlue,116,4,8,10
320,132,LightSteelBlue,116,5,8,10
321,2869,Silver,318,6,16,18
322,2869,Silver,318,4,16,18
323,3649,MintCream,186,4,11,13
324,3649,MintCream,186,6,11,13
325,4830,Ivory,287,3,19,21
326,4830,Ivory,287,2,19,21
327,3154,Khaki,163,6,19,21
328,3154,Khaki,163,4,19,21
329,5101,Coral,369,2,18,20
330,5101,Coral,369,3,18,20
331,4240,Wheat,433,4,6,8
332,4240,Wheat,433,5,6,8
333,1944,Magenta,332,6,10,12
334,1944,Magenta,332,1,10,12
335,244,DarkSlateGray,408,7,18,20
336,244,DarkSlateGray,408,2,18,20
337,5598,Orange,319,2,20,22
338,5598,Orange,319,3,20,22
339,3558,Plum,450,7,17,19
340,3558,Plum,450,2,17,19
341,3598,DarkBlue,336,5,14,16
342,3598,DarkBlue,336,4,14,16
343,3422,DeepPink,259,2,9,11
344,3422,DeepPink,259,5,9,11
345,4076,BurlyWood,267,2,13,15
346,4076,BurlyWood,267,5,13,15
347,5714,LightYellow,165,2,15,17
348,5714,LightYellow,165,3,15,17
349,1046,DarkSalmon,468,7,9,11
350,1046,DarkSalmon,468,1,9,11
351,5656,SlateBlue,434,4,12,14
352,5656,SlateBlue,434,1,12,14
353,2432,MintCream,422,4,11,13
354,2432,MintCream,422,3,11,13
355,5297,YellowGreen,483,4,10,12
356,5297,YellowGreen,483,5,10,12
357,3984,Maroon,119,7,18,20
358,3984,Maroon,119,2,18,20
359,483,FireBrick,205,2,8,10
360,483,FireBrick,205,3,8,10
361,2877,MistyRose,474,7,15,17
362,2877,MistyRose,474,2,15,17
363,3794,OliveDrab,384,3,7,9
364,3794,OliveDrab,384,4,7,9
365,2475,ForestGreen,263,1,12,14
366,2475,ForestGreen,263,7,12,14
367,4797,MediumPurple,247,2,16,18
368,4797,MediumPurple,247,5,16,18
369,875,Salmon,336,3,9,11
370,875,Salmon,336,5,9,11
371,193,Linen,294,6,20,22
372,193,Linen,294,7,20,22
373,4249,Gainsboro,449,3,10,12
374,4249,Gainsboro,449,1,10,12
375,1733,DarkTurquoise,221,7,9,11
376,1733,DarkTurquoise,221,6,9,11
377,2458,Beige,429,5,17,19
378,2458,Beige,429,6,17,19
379,292,SeaGreen,226,1,14,16
380,292,SeaGreen,226,2,14,16
381,1890,FloralWhite,162,4,20,22
382,1890,FloralWhite,162,5,20,22
383,899,YellowGreen,309,4,6,8
384,899,YellowGreen,309,7,6,8
385,3328,LightPink,201,3,8,10
386,3328,LightPink,201,4,8,10
387,2243,BlanchedAlmond,192,6,9,11
388,2243,BlanchedAlmond,192,3,9,11
389,1080,LightYellow,432,3,17,19
390,1080,LightYellow,432,7,17,19
391,2278,GoldenRod,334,6,7,9
392,2278,GoldenRod,334,4,7,9
393,2959,SaddleBrown,424,1,11,13
394,2959,SaddleBrown,424,4,11,13
395,4119,DarkSeaGreen,312,7,17,19
396,4119,DarkSeaGreen,312,4,17,19
397,289,Tan,335,5,9,11
398,289,Tan,335,2,9,11
399,1652,BlueViolet,225,4,10,12
400,1652,BlueViolet,225,1,10,12
401,585,MistyRose,249,5,8,10
402,585,MistyRose,249,7,8,10
403,2412,Coral,198,4,18,20
404,2412,Coral,198,7,18,20
405,2,Red,160,3,8,10
406,2,Red,160,7,8,10
407,508,LemonChiffon,193,2,6,8
408,508,LemonChiffon,193,5,6,8
409,3365,Sienna,494,7,10,12
410,3365,Sienna,494,5,10,12
411,2437,MediumAquaMarine,267,1,12,14
412,2437,MediumAquaMarine,267,4,12,14
413,4810,YellowGreen,434,1,9,11
414,4810,YellowGreen,434,4,9,11
415,5530,Red,424,5,15,17
416,5530,Red,424,2,15,17
417,3879,PaleVioletRed,443,7,14,16
418,3879,PaleVioletRed,443,3,14,16
419,5667,MediumPurple,306,7,17,19
420,5667,MediumPurple,306,2,17,19
421,5586,Cyan,499,4,12,14
422,5586,Cyan,499,3,12,14
423,2863,LemonChiffon,241,2,17,19
424,2863,LemonChiffon,241,3,17,19
425,408,SeaShell,365,3,15,17
426,408,SeaShell,365,1,15,17
427,2511,PaleGoldenRod,315,1,18,20
428,2511,PaleGoldenRod,315,5,18,20
429,1768,Gold,194,2,7,9
430,1768,Gold,194,3,7,9
431,1647,Wheat,130,5,18,20
432,1647,Wheat,130,6,18,20
433,4674,Tomato,209,5,13,15
434,4674,Tomato,209,2,13,15
435,1425,Thistle,352,1,12,14
436,1425,Thistle,352,6,12,14
437,2407,Lime,318,5,11,13
438,2407,Lime,318,7,11,13
439,2642,MediumSeaGreen,388,6,14,16
440,2642,MediumSeaGreen,388,7,14,16
441,1510,OliveDrab,399,1,20,22
442,1510,OliveDrab,399,4,20,22
443,1036,SlateBlue,341,4,14,16
444,1036,SlateBlue,341,7,14,16
445,4100,PapayaWhip,237,2,9,11
446,4100,PapayaWhip,237,4,9,11
447,357,Thistle,105,5,20,22
448,357,Thistle,105,6,20,22
449,3389,DeepPink,422,3,10,12
450,3389,DeepPink,422,1,10,12
451,5699,LimeGreen,413,7,20,22
452,5699,LimeGreen,413,2,20,22
453,1466,SaddleBrown,130,1,17,19
454,1466,SaddleBrown,130,4,17,19
455,4074,Pink,105,6,18,20
456,4074,Pink,105,5,18,20
457,1889,ForestGreen,132,3,16,18
458,1889,ForestGreen,132,5,16,18
459,3841,MediumPurple,310,4,18,20
460,3841,MediumPurple,310,5,18,20
461,4308,Beige,271,1,16,18
462,4308,Beige,271,2,16,18
463,5361,MediumSpringGreen,495,2,13,15
464,5361,MediumSpringGreen,495,3,13,15
465,2030,Orchid,165,1,9,11
466,2030,Orchid,165,3,9,11
467,5136,Orchid,146,3,10,12
468,5136,Orchid,146,4,10,12
469,3184,WhiteSmoke,206,2,9,11
470,3184,WhiteSmoke,206,4,9,11
471,1512,Indigo,237,6,7,9
472,1512,Indigo,237,1,7,9
473,1696,PeachPuff,258,2,12,14
474,1696,PeachPuff,258,1,12,14
475,2913,FloralWhite,235,7,7,9
476,2913,FloralWhite,235,6,7,9
477,2834,BlueViolet,383,1,10,12
478,2834,BlueViolet,383,2,10,12
479,4706,DarkSalmon,362,6,20,22
480,4706,DarkSalmon,362,2,20,22
481,3860,DeepPink,112,4,8,10
482,3860,DeepPink,112,5,8,10
483,1588,LightGreen,144,1,17,19
484,1588,LightGreen,144,5,17,19
485,135,DarkGreen,495,2,20,22
486,135,DarkGreen,495,7,20,22
487,2268,LightSeaGreen,108,1,6,8
488,2268,LightSeaGreen,108,7,6,8
489,3721,LightCyan,265,7,12,14
490,3721,LightCyan,265,5,12,14
491,2782,MistyRose,314,2,9,11
492,2782,MistyRose,314,3,9,11
493,4144,MintCream,146,1,6,8
494,4144,MintCream,146,3,6,8
495,3050,MediumSeaGreen,106,5,20,22
496,3050,MediumSeaGreen,106,6,20,22
497,2605,SlateGray,254,7,14,16
498,2605,SlateGray,254,5,14,16
499,1923,Gray,458,2,7,9
500,1923,Gray,458,3,7,9
501,4981,Snow,258,4,20,22
502,4981,Snow,258,2,20,22
503,807,Gold,476,3,6,8
504,807,Gold,476,4,6,8
505,1839,MediumSpringGreen,212,2,16,18
506,1839,MediumSpringGreen,212,7,16,18
507,3953,IndianRed,163,1,6,8
508,3953,IndianRed,163,2,6,8
509,1348,SlateBlue,474,6,18,20
510,1348,SlateBlue,474,3,18,20
511,3933,HoneyDew,271,7,6,8
512,3933,HoneyDew,271,5,6,8
513,3682,MediumSlateBlue,134,2,11,13
514,3682,MediumSlateBlue,134,3,11,13
515,1877,DarkSeaGreen,356,5,16,18
516,1877,DarkSeaGreen,356,7,16,18
517,1526,DeepSkyBlue,258,4,6,8
518,1526,DeepSkyBlue,258,1,6,8
519,4358,PaleGreen,475,3,10,12
520,4358,PaleGreen,475,7,10,12
521,2789,LightGreen,207,6,18,20
522,2789,LightGreen,207,3,18,20
523,2289,Magenta,226,2,7,9
524,2289,Magenta,226,4,7,9
525,3751,MediumOrchid,329,6,18,20
526,3751,MediumOrchid,329,4,18,20
527,2455,LightSeaGreen,493,5,14,16
528,2455,LightSeaGreen,493,1,14,16
529,2618,LightSkyBlue,494,6,12,14
530,2618,LightSkyBlue,494,2,12,14
531,3228,LightSteelBlue,339,3,13,15
532,3228,LightSteelBlue,339,5,13,15
533,3251,White,293,6,20,22
534,3251,White,293,4,20,22
535,5469,Gray,150,7,8,10
536,5469,Gray,150,3,8,10
537,2017,Coral,374,1,12,14
538,2017,Coral,374,5,12,14
539,5569,DarkMagenta,132,7,14,16
540,5569,DarkMagenta,132,6,14,16
541,4882,Bisque,488,2,7,9
542,4882,Bisque,488,4,7,9
543,2609,BlueViolet,211,7,17,19
544,2609,BlueViolet,211,1,17,19
545,1583,PaleGoldenRod,150,1,16,18
546,1583,PaleGoldenRod,150,3,16,18
547,913,HoneyDew,433,7,12,14
548,913,HoneyDew,433,1,12,14
549,632,LightGray,105,1,8,10
550,632,LightGray,105,3,8,10
551,1584,Black,276,4,18,20
552,1584,Black,276,3,18,20
553,3729,IndianRed,167,5,9,11
554,3729,IndianRed,167,6,9,11
555,1468,Aquamarine,428,7,15,17
556,1468,Aquamarine,428,3,15,17
557,5625,SeaShell,169,1,8,10
558,5625,SeaShell,169,4,8,10
559,2518,Pink,428,6,11,13
560,2518,Pink,428,7,11,13
561,1438,LightSteelBlue,385,1,10,12
562,1438,LightSteelBlue,385,3,10,12
563,4505,MediumBlue,483,5,20,22
564,4505,MediumBlue,483,6,20,22
565,1740,DarkOliveGreen,491,7,8,10
566,1740,DarkOliveGreen,491,4,8,10
567,3897,Orchid,208,5,10,12
568,3897,Orchid,208,6,10,12
569,445,Snow,220,6,12,14
570,445,Snow,220,1,12,14
571,3572,DarkSlateGray,109,2,14,16
572,3572,DarkSlateGray,109,4,14,16
573,5342,LightGray,173,7,15,17
574,5342,LightGray,173,2,15,17
575,3683,Olive,430,6,18,20
576,3683,Olive,430,1,18,20
577,4547,Gold,150,5,17,19
578,4547,Gold,150,3,17,19
579,1008,WhiteSmoke,205,1,20,22
580,1008,WhiteSmoke,205,6,20,22
581,1152,ForestGreen,416,7,19,21
582,1152,ForestGreen,416,5,19,21
583,595,MediumBlue,461,3,18,20
584,595,MediumBlue,461,2,18,20
585,3706,OldLace,398,6,10,12
586,3706,OldLace,398,2,10,12
587,533,LightCoral,284,1,13,15
588,533,LightCoral,284,5,13,15
589,4133,MistyRose,156,1,16,18
590,4133,MistyRose,156,6,16,18
591,1158,DarkOrchid,193,3,6,8
592,1158,DarkOrchid,193,4,6,8
593,734,Lavender,204,3,10,12
594,734,Lavender,204,7,10,12
595,3126,SpringGreen,363,1,16,18
596,3126,SpringGreen,363,3,16,18
597,2966,CadetBlue,388,3,12,14
598,2966,CadetBlue,388,5,12,14
599,1411,Chocolate,433,4,14,16
600,1411,Chocolate,433,1,14,16
601,179,CornflowerBlue,336,5,20,22
602,179,CornflowerBlue,336,6,20,22
603,1915,FloralWhite,262,3,14,16
604,1915,FloralWhite,262,6,14,16
605,3629,SlateGray,175,5,14,16
606,3629,SlateGray,175,7,14,16
607,3109,Navy,274,5,13,15
608,3109,Navy,274,6,13,15
609,4591,Violet,395,3,20,22
610,4591,Violet,395,7,20,22
611,3226,OliveDrab,199,5,19,21
612,3226,OliveDrab,199,3,19,21
613,2773,DarkMagenta,218,1,18,20
614,2773,DarkMagenta,218,3,18,20
615,143,BurlyWood,257,5,9,11
616,143,BurlyWood,257,3,9,11
617,1457,LightCyan,348,3,9,11
618,1457,LightCyan,348,5,9,11
619,1758,FloralWhite,189,2,18,20
620,1758,FloralWhite,189,6,18,20
621,4563,Wheat,257,6,19,21
622,4563,Wheat,257,1,19,21
623,2005,Chartreuse,258,3,17,19
624,2005,Chartreuse,258,6,17,19
625,4868,Thistle,357,2,15,17
626,4868,Thistle,357,1,15,17
627,617,Orchid,301,4,6,8
628,617,Orchid,301,1,6,8
629,449,SteelBlue,223,2,9,11
630,449,SteelBlue,223,7,9,11
631,1805,LightSteelBlue,219,2,10,12
632,1805,LightSteelBlue,219,3,10,12
633,136,Tomato,404,7,20,22
634,136,Tomato,404,4,20,22
635,1313,Sienna,405,6,11,13
636,1313,Sienna,405,5,11,13
637,4306,Tan,158,7,20,22
638,4306,Tan,158,6,20,22
639,1197,LightSteelBlue,475,7,20,22
640,1197,LightSteelBlue,475,2,20,22
641,904,IndianRed,458,6,15,17
642,904,IndianRed,458,2,15,17
643,1040,HoneyDew,290,2,19,21
644,1040,HoneyDew,290,1,19,21
645,5624,LawnGreen,468,6,9,11
646,5624,LawnGreen,468,1,9,11
647,4747,DarkGoldenRod,206,5,18,20
648,4747,DarkGoldenRod,206,4,18,20
649,4086,Silver,207,7,19,21
650,4086,Silver,207,4,19,21
651,2478,Tan,262,1,11,13
652,2478,Tan,262,6,11,13
653,5311,IndianRed,143,1,11,13
654,5311,IndianRed,143,5,11,13
655,2775,LightSlateGray,122,2,20,22
656,2775,LightSlateGray,122,4,20,22
657,1260,LimeGreen,150,2,12,14
658,1260,LimeGreen,150,1,12,14
659,364,SkyBlue,467,2,9,11
660,364,SkyBlue,467,3,9,11
661,5559,DeepPink,167,3,19,21
662,5559,DeepPink,167,7,19,21
663,5411,Blue,129,7,11,13
664,5411,Blue,129,4,11,13
665,3290,PaleGoldenRod,290,2,14,16
666,3290,PaleGoldenRod,290,6,14,16
667,1476,LawnGreen,404,6,10,12
668,1476,LawnGreen,404,3,10,12
669,2284,RosyBrown,391,3,9,11
670,2284,RosyBrown,391,1,9,11
671,2602,Brown,111,4,14,16
672,2602,Brown,111,5,14,16
673,2248,MediumSlateBlue,317,6,18,20
674,2248,MediumSlateBlue,317,2,18,20
675,5595,Gainsboro,388,2,8,10
676,5595,Gainsboro,388,4,8,10
677,1187,Tan,352,7,14,16
678,1187,Tan,352,5,14,16
679,1484,PeachPuff,230,5,16,18
680,1484,PeachPuff,230,1,16,18
681,2614,LightSteelBlue,477,6,18,20
682,2614,LightSteelBlue,477,3,18,20
683,773,SandyBrown,416,5,17,19
684,773,SandyBrown,416,4,17,19
685,4784,CornflowerBlue,174,3,7,9
686,4784,CornflowerBlue,174,4,7,9
687,4161,DarkGray,121,1,17,19
688,4161,DarkGray,121,2,17,19
689,3886,PapayaWhip,319,2,11,13
690,3886,PapayaWhip,319,3,11,13
691,27,Olive,212,5,13,15
692,27,Olive,212,7,13,15
693,1709,MediumBlue,326,7,10,12
694,1709,MediumBlue,326,5,10,12
695,1417,DarkBlue,275,2,14,16
696,1417,DarkBlue,275,5,14,16
697,2212,OliveDrab,174,4,10,12
698,2212,OliveDrab,174,5,10,12
699,4033,LavenderBlush,347,4,11,13
700,4033,LavenderBlush,347,2,11,13
701,3134,Silver,449,1,16,18
702,3134,Silver,449,4,16,18
703,1001,Khaki,287,1,19,21
704,1001,Khaki,287,7,19,21
705,2930,FloralWhite,140,5,13,15
706,2930,FloralWhite,140,4,13,15
707,1370,SeaShell,305,3,7,9
708,1370,SeaShell,305,1,7,9
709,3635,Lime,282,2,19,21
710,3635,Lime,282,6,19,21
711,5608,MediumPurple,479,7,17,19
712,5608,MediumPurple,479,3,17,19
713,3748,LightPink,429,2,16,18
714,3748,LightPink,429,3,16,18
715,223,DarkSalmon,321,7,19,21
716,223,DarkSalmon,321,3,19,21
717,3806,LightBlue,118,5,11,13
718,3806,LightBlue,118,2,11,13
719,2087,Green,184,3,12,14
