academic_history_id,student_id,program_id,sia_code,name,status,start_date,end_date
141,107,1,280387,Ingeniería de Sistemas y Computación,ACTIVE,2014-10-09,2018-02-02
142,107,1,395300,Ingeniería de Sistemas y Computación,ACTIVE,2013-12-28,2018-11-14
143,108,2,315554,Ingeniería Electrónica,ACTIVE,2021-12-26,2025-02-14
144,109,1,93959,Ingeniería de Sistemas y Computación,ACTIVE,2010-02-02,2016-04-11
145,110,1,351029,Ingeniería de Sistemas y Computación,ACTIVE,2012-03-23,2016-01-12
146,111,1,226856,Ingeniería de Sistemas y Computación,ACTIVE,2013-08-21,2020-05-02
147,112,1,292427,Ingeniería de Sistemas y Computación,ACTIVE,2019-06-10,2026-03-14
148,113,1,213296,Ingeniería de Sistemas y Computación,ACTIVE,2020-06-24,2027-09-02
149,114,1,36278,Ingeniería de Sistemas y Computación,ACTIVE,2008-07-30,2013-09-02
150,115,1,236811,Ingeniería de Sistemas y Computación,ACTIVE,2011-12-30,2016-12-05
151,116,1,249525,Ingeniería de Sistemas y Computación,ACTIVE,2022-08-11,2029-02-15
152,117,1,193815,Ingeniería de Sistemas y Computación,ACTIVE,2015-09-28,2021-02-08
153,117,1,365811,Ingeniería de Sistemas y Computación,ACTIVE,2012-08-27,2019-05-21
154,117,2,361172,Ingeniería Electrónica,ACTIVE,2012-02-24,2018-06-13
155,118,1,323196,Ingeniería de Sistemas y Computación,ACTIVE,2022-02-13,2029-09-24
156,119,1,46925,Ingeniería de Sistemas y Computación,ACTIVE,2008-07-05,2015-02-23
157,120,1,164861,Ingeniería de Sistemas y Computación,ACTIVE,2021-04-23,2027-10-23
158,121,1,408002,Ingeniería de Sistemas y Computación,ACTIVE,2016-12-26,2021-06-17
159,122,1,334688,Ingeniería de Sistemas y Computación,ACTIVE,2013-07-06,2018-10-21
160,123,2,18026,Ingeniería Electrónica,INACTIVE,2016-09-23,2020-06-29
161,124,1,263673,Ingeniería de Sistemas y Computación,ACTIVE,2010-07-10,2014-01-06
162,125,1,356611,Ingeniería de Sistemas y Computación,ACTIVE,2013-07-25,2017-11-25
163,126,1,339998,Ingeniería de Sistemas y Computación,ACTIVE,2010-02-24,2015-06-23
164,127,1,204539,Ingeniería de Sistemas y Computación,INACTIVE,2022-08-13,2028-09-08
165,128,1,438449,Ingeniería de Sistemas y Computación,ACTIVE,2022-11-13,2026-10-04
166,129,1,443168,Ingeniería de Sistemas y Computación,ACTIVE,2014-09-08,2020-12-10
167,130,1,293042,Ingeniería de Sistemas y Computación,ACTIVE,2020-08-31,2024-08-21
168,131,1,430678,Ingeniería de Sistemas y Computación,ACTIVE,2015-05-31,2021-05-11
169,132,1,143702,Ingeniería de Sistemas y Computación,ACTIVE,2008-10-17,2015-07-27
170,133,1,444540,Ingeniería de Sistemas y Computación,ACTIVE,2016-11-04,2022-11-14
171,134,1,275907,Ingeniería de Sistemas y Computación,INACTIVE,2016-08-23,2020-01-09
172,135,2,270655,Ingeniería Electrónica,ACTIVE,2010-08-11,2016-02-24
173,136,1,474790,Ingeniería de Sistemas y Computación,ACTIVE,2018-04-10,2025-04-30
174,137,3,320387,Ingeniería Mecatrónica,ACTIVE,2018-03-05,2025-09-25
175,138,1,135776,Ingeniería de Sistemas y Computación,ACTIVE,2008-01-26,2015-07-11
176,139,2,400680,Ingeniería Electrónica,ACTIVE,2015-03-01,2019-12-12
177,140,1,363784,Ingeniería de Sistemas y Computación,INACTIVE,2011-02-17,2015-01-06
178,141,1,15298,Ingeniería de Sistemas y Computación,INACTIVE,2009-09-02,2014-01-19
179,142,1,127542,Ingeniería de Sistemas y Computación,ACTIVE,2016-12-30,2022-02-25
180,143,3,95466,Ingeniería Mecatrónica,ACTIVE,2021-02-12,2028-05-03
181,144,1,230888,Ingeniería de Sistemas y Computación,ACTIVE,2021-11-28,2026-03-28
182,145,1,412496,Ingeniería de Sistemas y Computación,ACTIVE,2018-12-17,2022-03-30
183,146,1,258126,Ingeniería de Sistemas y Computación,ACTIVE,2009-05-12,2015-12-29
184,146,1,397478,Ingeniería de Sistemas y Computación,ACTIVE,2010-11-28,2015-12-31
185,146,1,243472,Ingeniería de Sistemas y Computación,ACTIVE,2012-02-03,2018-01-20
186,147,1,493673,Ingeniería de Sistemas y Computación,ACTIVE,2022-03-14,2026-05-02
187,148,1,447517,Ingeniería de Sistemas y Computación,ACTIVE,2022-12-10,2028-07-15
188,149,1,248520,Ingeniería de Sistemas y Computación,ACTIVE,2013-02-23,2018-04-24
189,150,1,89214,Ingeniería de Sistemas y Computación,INACTIVE,2009-05-24,2016-01-26
190,151,1,431268,Ingeniería de Sistemas y Computación,ACTIVE,2017-08-20,2024-05-23
191,152,2,490050,Ingeniería Electrónica,ACTIVE,2019-05-19,2024-01-28
192,152,3,382467,Ingeniería Mecatrónica,ACTIVE,2020-07-11,2027-04-08
193,153,1,86739,Ingeniería de Sistemas y Computación,INACTIVE,2021-09-20,2026-08-06
194,153,1,465382,Ingeniería de Sistemas y Computación,ACTIVE,2010-11-26,2016-11-10
195,154,1,132724,Ingeniería de Sistemas y Computación,ACTIVE,2008-03-29,2013-03-11
196,155,1,395420,Ingeniería de Sistemas y Computación,ACTIVE,2018-09-30,2022-03-14
197,156,2,116695,Ingeniería Electrónica,ACTIVE,2008-11-05,2014-06-16
198,156,1,354039,Ingeniería de Sistemas y Computación,ACTIVE,2015-12-29,2022-05-28
199,157,2,443856,Ingeniería Electrónica,INACTIVE,2010-01-04,2015-02-26
200,157,1,44530,Ingeniería de Sistemas y Computación,INACTIVE,2015-05-23,2019-08-01
201,158,1,283527,Ingeniería de Sistemas y Computación,ACTIVE,2020-11-03,2027-04-15
202,159,1,460373,Ingeniería de Sistemas y Computación,ACTIVE,2023-01-26,2028-06-06
203,160,1,125971,Ingeniería de Sistemas y Computación,ACTIVE,2021-07-05,2027-07-07
204,161,1,294381,Ingeniería de Sistemas y Computación,ACTIVE,2011-11-23,2017-11-04
205,162,1,246241,Ingeniería de Sistemas y Computación,ACTIVE,2017-11-28,2023-07-30
206,163,1,285730,Ingeniería de Sistemas y Computación,ACTIVE,2019-06-12,2026-03-16
207,164,1,409155,Ingeniería de Sistemas y Computación,ACTIVE,2016-05-16,2021-01-19
208,165,1,441422,Ingeniería de Sistemas y Computación,INACTIVE,2021-03-06,
209,166,2,483574,Ingeniería Electrónica,INACTIVE,2009-06-11,2014-04-23
210,167,3,23569,Ingeniería Mecatrónica,ACTIVE,2010-10-08,2017-02-19
211,168,1,211724,Ingeniería de Sistemas y Computación,ACTIVE,2008-06-11,2012-06-14
212,169,1,438859,Ingeniería de Sistemas y Computación,ACTIVE,2009-12-28,2016-04-08
213,170,1,434710,Ingeniería de Sistemas y Computación,ACTIVE,2010-01-10,2015-04-01
214,171,1,325060,Ingeniería de Sistemas y Computación,ACTIVE,2008-07-25,2015-03-08
215,172,1,313186,Ingeniería de Sistemas y Computación,ACTIVE,2022-10-17,2026-02-25
216,173,2,336884,Ingeniería Electrónica,ACTIVE,2018-10-14,2024-01-12
217,174,1,231160,Ingeniería de Sistemas y Computación,ACTIVE,2015-05-26,2020-07-29
218,175,1,252808,Ingeniería de Sistemas y Computación,ACTIVE,2011-04-13,2015-09-28
219,176,3,159813,Ingeniería Mecatrónica,ACTIVE,2011-04-03,2018-07-10
220,177,1,240311,Ingeniería de Sistemas y Computación,ACTIVE,2016-11-04,2020-07-07
221,177,1,435298,Ingeniería de Sistemas y Computación,ACTIVE,2020-09-21,2025-08-13
222,178,1,473345,Ingeniería de Sistemas y Computación,ACTIVE,2017-05-03,2022-12-15
223,179,1,287784,Ingeniería de Sistemas y Computación,ACTIVE,2020-08-10,2025-04-01
224,180,1,32311,Ingeniería de Sistemas y Computación,ACTIVE,2008-11-03,2015-03-22
225,180,2,413504,Ingeniería Electrónica,ACTIVE,2014-06-17,2018-05-10
226,180,1,72464,Ingeniería de Sistemas y Computación,ACTIVE,2014-12-07,2021-10-23
227,181,1,296977,Ingeniería de Sistemas y Computación,INACTIVE,2013-06-28,2017-12-18
228,181,1,373938,Ingeniería de Sistemas y Computación,ACTIVE,2010-12-21,2016-11-13
229,182,2,31319,Ingeniería Electrónica,INACTIVE,2014-11-10,2019-04-29
230,183,1,219588,Ingeniería de Sistemas y Computación,ACTIVE,2020-06-11,2027-07-16
231,184,1,131617,Ingeniería de Sistemas y Computación,ACTIVE,2019-09-25,2024-05-28
232,184,1,456800,Ingeniería de Sistemas y Computación,ACTIVE,2015-09-03,2020-09-23
233,185,1,296142,Ingeniería de Sistemas y Computación,ACTIVE,2020-09-06,2027-02-20
234,186,1,264031,Ingeniería de Sistemas y Computación,ACTIVE,2016-01-27,2021-10-14
235,187,1,435256,Ingeniería de Sistemas y Computación,ACTIVE,2013-10-06,2020-02-27
236,188,2,359523,Ingeniería Electrónica,ACTIVE,2015-10-15,2019-06-01
237,189,1,19501,Ingeniería de Sistemas y Computación,ACTIVE,2010-04-14,2017-04-15
238,190,1,178900,Ingeniería de Sistemas y Computación,ACTIVE,2011-01-13,2018-06-29
239,191,1,304179,Ingeniería de Sistemas y Computación,ACTIVE,2022-02-10,2029-12-09
240,192,1,146842,Ingeniería de Sistemas y Computación,ACTIVE,2022-05-16,2027-10-08
241,192,2,474005,Ingeniería Electrónica,ACTIVE,2011-04-12,2015-07-22
242,193,1,357905,Ingeniería de Sistemas y Computación,ACTIVE,2011-08-03,2018-08-23
243,194,1,65439,Ingeniería de Sistemas y Computación,ACTIVE,2021-05-02,2025-03-06
244,195,1,253841,Ingeniería de Sistemas y Computación,ACTIVE,2014-05-01,2021-01-05
245,196,1,122290,Ingeniería de Sistemas y Computación,ACTIVE,2015-07-28,2022-04-14
246,196,1,27610,Ingeniería de Sistemas y Computación,INACTIVE,2018-02-07,2024-07-14
247,196,1,193271,Ingeniería de Sistemas y Computación,ACTIVE,2022-12-03,2027-04-19
248,197,1,274913,Ingeniería de Sistemas y Computación,ACTIVE,2023-01-06,2030-11-30
249,198,1,333606,Ingeniería de Sistemas y Computación,ACTIVE,2008-11-11,2015-07-17
250,199,1,364399,Ingeniería de Sistemas y Computación,ACTIVE,2019-02-05,2024-11-01
251,200,1,236539,Ingeniería de Sistemas y Computación,ACTIVE,2012-06-07,2017-11-09
252,201,1,400030,Ingeniería de Sistemas y Computación,ACTIVE,2012-12-06,2018-10-12
253,201,2,377050,Ingeniería Electrónica,ACTIVE,2013-07-08,2018-05-16
254,202,1,380479,Ingeniería de Sistemas y Computación,ACTIVE,2013-05-26,2018-07-12
255,203,2,266328,Ingeniería Electrónica,ACTIVE,2017-02-12,2022-04-10
256,203,1,122210,Ingeniería de Sistemas y Computación,ACTIVE,2011-04-14,2018-04-08
257,204,1,78749,Ingeniería de Sistemas y Computación,ACTIVE,2021-02-07,2025-08-31
258,205,1,102439,Ingeniería de Sistemas y Computación,INACTIVE,2012-02-22,2018-02-18
259,206,1,270323,Ingeniería de Sistemas y Computación,ACTIVE,2016-09-13,2021-06-19
260,206,2,439476,Ingeniería Electrónica,ACTIVE,2011-01-18,2015-01-13
261,206,3,429002,Ingeniería Mecatrónica,ACTIVE,2008-06-23,2015-05-22
262,207,2,253732,Ingeniería Electrónica,ACTIVE,2014-06-02,2021-09-01
263,208,1,48614,Ingeniería de Sistemas y Computación,ACTIVE,2009-03-20,2013-03-23
264,209,1,329998,Ingeniería de Sistemas y Computación,ACTIVE,2016-07-23,2020-12-25
265,210,1,378290,Ingeniería de Sistemas y Computación,ACTIVE,2010-04-19,2016-08-03
266,211,1,91884,Ingeniería de Sistemas y Computación,INACTIVE,2019-04-24,2026-09-23
267,212,1,310588,Ingeniería de Sistemas y Computación,INACTIVE,2022-06-10,2028-06-04
268,212,1,26297,Ingeniería de Sistemas y Computación,ACTIVE,2020-09-02,2025-08-07
269,213,1,290927,Ingeniería de Sistemas y Computación,ACTIVE,2021-09-14,2028-07-19
270,213,1,479900,Ingeniería de Sistemas y Computación,ACTIVE,2020-05-04,2024-07-09
271,213,1,40179,Ingeniería de Sistemas y Computación,ACTIVE,2017-03-22,2024-01-03
272,214,1,419384,Ingeniería de Sistemas y Computación,INACTIVE,2008-11-27,2015-09-08
273,215,1,305281,Ingeniería de Sistemas y Computación,INACTIVE,2015-05-19,2019-08-17
274,216,1,435573,Ingeniería de Sistemas y Computación,ACTIVE,2016-10-08,2020-03-27
275,217,2,391230,Ingeniería Electrónica,ACTIVE,2022-11-27,2029-01-25
276,218,1,179423,Ingeniería de Sistemas y Computación,INACTIVE,2017-05-28,
277,219,1,310945,Ingeniería de Sistemas y Computación,ACTIVE,2011-04-11,2016-08-21
278,220,1,29977,Ingeniería de Sistemas y Computación,INACTIVE,2019-01-04,2024-02-19
279,221,1,417886,Ingeniería de Sistemas y Computación,ACTIVE,2015-06-13,2020-06-21
280,222,1,247539,Ingeniería de Sistemas y Computación,ACTIVE,2022-07-23,2026-02-07
281,223,1,206768,Ingeniería de Sistemas y Computación,ACTIVE,2021-11-21,2025-01-20
282,224,1,156853,Ingeniería de Sistemas y Computación,ACTIVE,2019-05-29,2024-04-01
283,225,1,277148,Ingeniería de Sistemas y Computación,ACTIVE,2017-05-29,2023-12-23
284,226,1,461576,Ingeniería de Sistemas y Computación,INACTIVE,2017-01-03,2023-11-28
285,227,1,13289,Ingeniería de Sistemas y Computación,ACTIVE,2012-10-23,2016-09-30
286,227,1,213276,Ingeniería de Sistemas y Computación,ACTIVE,2017-06-07,2022-01-24
287,227,1,236394,Ingeniería de Sistemas y Computación,ACTIVE,2018-03-24,2025-12-06
288,228,1,246031,Ingeniería de Sistemas y Computación,ACTIVE,2014-05-10,2021-04-21
289,229,2,317456,Ingeniería Electrónica,ACTIVE,2015-10-15,2022-09-02
290,229,1,330204,Ingeniería de Sistemas y Computación,ACTIVE,2010-07-26,2015-11-25
291,229,1,213058,Ingeniería de Sistemas y Computación,ACTIVE,2012-03-02,2017-12-01
292,230,1,386693,Ingeniería de Sistemas y Computación,ACTIVE,2019-05-11,2025-12-24
293,231,1,422820,Ingeniería de Sistemas y Computación,INACTIVE,2009-06-06,2013-07-11
294,232,1,231342,Ingeniería de Sistemas y Computación,ACTIVE,2020-01-08,2024-06-05
295,233,1,68722,Ingeniería de Sistemas y Computación,ACTIVE,2009-03-19,2014-04-22
296,234,1,480848,Ingeniería de Sistemas y Computación,ACTIVE,2008-08-10,2014-06-08
297,235,1,303844,Ingeniería de Sistemas y Computación,ACTIVE,2011-01-28,2017-05-03
298,236,1,83336,Ingeniería de Sistemas y Computación,ACTIVE,2014-12-27,2020-11-06
299,236,1,471537,Ingeniería de Sistemas y Computación,ACTIVE,2021-07-15,2027-03-13
300,237,1,302853,Ingeniería de Sistemas y Computación,ACTIVE,2017-10-08,2023-08-22
301,238,1,321057,Ingeniería de Sistemas y Computación,ACTIVE,2022-10-05,2028-07-26
