group_id,group_number,semester,seats,professor_id,course_id
1969,1,2011-1,24,5,27
4078,1,2010-1,28,6,56
2392,1,2010-2,45,7,33
3308,1,2021-2,45,8,45
884,3,2022-2,24,9,12
1549,1,2016-1,24,10,21
2935,3,2017-1,21,11,40
4376,2,2022-1,21,12,59
3161,2,2019-1,30,13,43
4917,3,2008-1,21,14,67
2095,4,2021-2,25,15,28
1504,1,2022-2,20,16,20
1352,1,2008-2,22,17,19
855,1,2016-2,45,18,12
366,2,2020-2,42,19,5
3695,3,2022-2,48,20,50
3086,2,2018-2,34,21,42
3220,1,2017-2,49,22,44
1011,3,2018-2,28,23,14
3385,2,2008-1,25,24,47
2074,2,2017-1,31,25,28
2052,3,2012-2,29,26,28
1864,1,2020-1,50,27,25
3845,2,2008-1,40,28,53
5248,1,2013-1,43,29,71
4408,1,2013-1,21,30,60
5012,2,2013-2,37,1,68
4342,2,2016-1,42,2,59
4398,2,2011-2,48,3,60
2640,2,2020-2,30,4,36
1597,2,2010-1,43,5,22
3885,3,2015-1,38,6,53
3056,1,2012-1,49,7,42
2823,1,2013-1,47,8,39
926,1,2016-2,22,9,13
1830,1,2013-1,40,10,25
3863,2,2011-2,20,11,53
2717,2,2021-1,30,12,37
254,3,2014-1,39,13,4
4200,1,2020-1,28,14,57
4709,4,2011-1,29,15,64
3839,2,2021-2,40,16,52
4695,2,2009-1,39,17,64
604,2,2010-1,34,18,9
3916,2,2021-1,25,19,53
4265,1,2017-2,22,20,58
4058,1,2019-2,45,21,55
4792,1,2012-1,22,22,65
3373,2,2020-2,23,23,46
1038,1,2008-2,30,24,15
3437,1,2017-1,20,25,47
634,1,2015-2,43,26,9
4413,3,2013-2,47,27,60
5035,2,2017-2,22,28,68
247,1,2013-1,20,29,4
635,2,2015-2,46,30,9
4991,1,2009-1,47,1,68
1814,2,2009-1,33,2,25
1812,3,2008-2,42,3,25
4860,2,2011-1,33,4,66
2651,1,2008-1,33,5,37
3103,1,2008-1,25,6,43
957,1,2022-1,30,7,13
4618,4,2022-2,48,8,62
3338,2,2013-1,26,9,46
3716,2,2011-2,27,10,51
1784,4,2018-1,46,11,24
3680,3,2019-2,45,12,50
1559,1,2017-2,43,13,21
2527,1,2010-1,42,14,35
2828,4,2013-2,41,15,39
3645,2,2014-1,36,16,50
2716,1,2021-1,23,17,37
82,3,2022-2,26,18,1
3848,1,2008-2,33,19,53
5501,3,2018-1,36,20,74
1517,3,2009-2,36,21,21
5036,3,2017-2,42,22,68
3263,1,2011-2,38,23,45
4814,3,2017-1,37,24,65
5626,3,2012-1,40,25,76
525,1,2008-1,34,26,8
1341,3,2021-1,39,27,18
575,1,2019-1,46,28,8
2931,2,2016-2,23,29,40
4719,2,2012-2,35,30,64
1731,1,2008-1,20,1,24
5371,2,2022-2,24,2,72
3895,2,2017-1,30,3,53
3452,2,2020-1,50,4,47
4540,1,2009-1,36,5,62
383,2,2008-2,38,6,6
2340,1,2012-2,50,7,32
92,1,2009-1,34,8,2
2270,1,2012-2,30,9,31
132,1,2016-2,37,10,2
2869,2,2020-2,32,11,39
3649,2,2014-2,32,12,50
4830,1,2020-1,27,13,65
3154,2,2017-2,39,14,43
5101,4,2013-2,37,15,69
4240,2,2012-1,37,16,58
1944,1,2022-2,24,17,26
244,2,2011-2,24,18,4
5598,2,2019-2,46,19,75
3558,2,2010-2,31,20,49
3598,2,2018-2,41,21,49
3422,2,2014-2,41,22,47
4076,1,2009-2,30,23,56
5714,1,2015-2,42,24,77
1046,1,2010-2,45,25,15
5656,2,2018-1,44,26,76
2432,2,2020-1,43,27,33
5297,1,2021-2,47,28,71
3984,1,2019-1,38,29,54
483,2,2012-1,50,30,7
2877,2,2022-1,21,1,39
3794,1,2013-1,46,2,52
2475,2,2014-2,24,3,34
4797,2,2013-1,37,4,65
875,1,2020-2,20,5,12
193,4,2015-1,46,6,3
4249,1,2013-2,20,7,58
1733,1,2008-2,30,8,24
2458,1,2011-1,42,9,34
292,2,2021-1,22,10,4
1890,3,2010-1,38,11,26
899,4,2011-1,39,12,13
3328,1,2011-1,27,13,46
2243,1,2022-2,35,14,30
1080,3,2016-2,47,15,15
2278,2,2014-2,22,16,31
2959,3,2021-1,29,17,40
4119,1,2017-2,39,18,56
289,1,2020-2,21,19,4
1652,1,2021-1,43,20,22
585,2,2021-2,44,21,8
2412,1,2015-2,34,22,33
2,2,2008-1,26,23,1
508,3,2018-2,26,24,7
3365,1,2018-2,34,25,46
2437,1,2021-2,42,26,33
4810,1,2016-2,24,27,65
5530,2,2008-2,27,28,75
3879,1,2014-2,32,29,53
5667,1,2021-1,42,30,76
5586,1,2018-1,41,1,75
2863,4,2019-2,37,2,39
408,1,2014-1,29,3,6
2511,1,2022-1,46,4,34
1768,2,2015-2,30,5,24
1647,1,2020-1,40,6,22
4674,4,2019-1,45,7,63
1425,4,2022-1,40,8,19
2407,2,2014-2,25,9,33
2642,1,2021-1,28,10,36
1510,2,2008-2,42,11,21
1036,2,2008-1,47,12,15
4100,1,2014-1,37,13,56
357,2,2018-2,48,14,5
3389,1,2009-1,46,15,47
5699,2,2012-2,43,16,77
1466,1,2016-1,37,17,20
4074,1,2009-1,40,18,56
1889,2,2010-1,41,19,26
3841,2,2022-1,23,20,52
4308,3,2010-1,45,21,59
5361,1,2020-1,44,22,72
2030,3,2022-2,33,23,27
5136,2,2020-2,47,24,69
3184,1,2009-1,42,25,44
1512,4,2008-2,20,26,21
1696,2,2016-1,36,27,23
2913,4,2013-2,35,28,40
2834,3,2015-1,40,29,39
4706,1,2011-1,20,30,64
3860,2,2011-1,44,1,53
1588,4,2008-2,25,2,22
135,1,2017-2,22,3,2
2268,3,2011-2,33,4,31
3721,1,2012-2,31,5,51
2782,2,2019-2,24,6,38
4144,2,2022-2,34,7,56
3050,1,2011-1,46,8,42
2605,1,2012-2,24,9,36
1923,4,2017-2,45,10,26
4981,1,2021-2,23,11,67
807,2,2021-2,21,12,11
1839,1,2014-2,27,13,25
3953,2,2013-1,46,14,54
1348,2,2022-2,37,15,18
3933,4,2009-1,44,16,54
3682,2,2020-1,41,17,50
1877,2,2022-2,45,18,25
1526,2,2011-1,31,19,21
4358,2,2018-2,45,20,59
2789,3,2020-2,48,21,38
2289,4,2016-1,50,22,31
3751,4,2018-2,38,23,51
2455,3,2010-1,20,24,34
2618,2,2015-2,48,25,36
3228,1,2019-1,43,26,44
3251,2,2009-1,25,27,45
5469,2,2012-2,45,28,74
2017,2,2019-2,34,29,27
5569,2,2015-1,25,30,75
4882,1,2016-1,46,1,66
2609,1,2013-2,35,2,36
1583,1,2022-2,20,3,21
913,2,2014-1,36,4,13
632,2,2015-1,24,5,9
1584,1,2008-1,22,6,22
3729,4,2013-2,23,7,51
1468,3,2016-1,25,8,20
5625,2,2012-1,50,9,76
2518,1,2008-2,30,10,35
1438,1,2009-1,46,11,20
4505,1,2016-2,28,12,61
1740,1,2010-1,22,13,24
3897,2,2017-2,41,14,53
445,2,2020-2,46,15,6
3572,1,2013-2,40,16,49
5342,2,2014-2,47,17,72
3683,3,2020-1,40,18,50
4547,4,2009-2,41,19,62
1008,4,2018-1,23,20,14
1152,3,2014-2,47,21,16
595,3,2008-2,24,22,9
3706,2,2010-1,24,23,51
533,2,2009-2,44,24,8
4133,3,2020-1,45,25,56
1158,1,2016-2,45,26,16
734,2,2021-1,48,27,10
3126,2,2012-2,27,28,43
2966,4,2022-2,21,29,40
1411,4,2019-1,29,30,19
179,2,2011-2,24,1,3
1915,1,2016-1,49,2,26
3629,2,2010-2,29,3,50
3109,1,2009-2,49,4,43
4591,1,2019-1,25,5,62
3226,2,2018-2,35,6,44
2773,2,2017-1,47,7,38
143,3,2019-2,28,8,2
1457,3,2013-1,35,9,20
1758,2,2013-2,43,10,24
4563,2,2013-2,50,11,62
2005,4,2017-2,30,12,27
4868,1,2013-1,34,13,66
617,2,2012-2,23,14,9
449,2,2021-1,49,15,6
1805,2,2022-2,25,16,24
136,1,2018-1,28,17,2
1313,2,2014-2,27,18,18
4306,1,2010-1,46,19,59
1197,1,2009-2,35,20,17
904,2,2012-1,47,21,13
1040,2,2009-1,49,22,15
5624,1,2012-1,45,23,76
4747,2,2017-2,40,24,64
4086,1,2011-2,39,25,56
2478,1,2015-1,46,26,34
5311,4,2009-1,48,27,72
2775,2,2017-2,42,28,38
1260,1,2020-2,43,29,17
364,2,2020-1,47,30,5
5559,2,2013-2,46,1,75
5411,2,2016-1,24,2,73
3290,1,2017-2,26,3,45
1476,3,2017-2,41,4,20
2284,2,2015-2,22,5,31
2602,1,2011-2,25,6,36
2248,3,2008-1,36,7,31
5595,2,2019-1,27,8,75
1187,2,2008-1,48,9,17
1484,2,2019-1,37,10,20
2614,2,2014-2,21,11,36
773,4,2014-2,40,12,11
4784,1,2010-1,47,13,65
4161,2,2010-2,41,14,57
3886,1,2015-2,32,15,53
27,2,2012-1,31,16,1
1709,2,2018-2,31,17,23
1417,4,2020-2,34,18,19
2212,2,2015-1,35,19,30
4033,2,2014-2,22,20,55
3134,3,2013-2,48,21,43
1001,2,2017-1,33,22,14
2930,1,2016-2,34,23,40
1370,3,2012-1,24,24,19
3635,1,2012-1,28,25,50
5608,1,2022-1,22,26,75
3748,1,2018-2,48,27,51
223,3,2022-2,33,28,3
3806,3,2015-1,37,29,52
2087,3,2019-2,50,30,28
58,1,2018-2,41,1,1
5570,3,2015-1,34,2,75
3297,1,2019-1,21,3,45
1892,1,2010-2,37,4,26
5227,1,2009-1,21,5,71
5091,1,2012-2,46,6,69
2757,2,2013-2,29,7,38
1087,2,2018-1,41,8,15
4257,1,2015-2,29,9,58
2755,2,2013-1,48,10,38
4614,4,2022-1,29,11,62
5412,1,2016-2,22,12,73
4386,1,2009-2,33,13,60
4855,1,2010-1,24,14,66
536,2,2010-2,40,15,8
3565,3,2011-2,25,16,49
3676,1,2019-1,44,17,50
1500,1,2022-1,32,18,20
3193,1,2011-2,26,19,44
4021,2,2012-2,23,20,55
149,1,2020-2,34,21,2
3777,1,2009-2,30,22,52
3764,1,2021-2,39,23,51
1189,1,2008-2,34,24,17
2092,1,2021-2,50,25,28
5319,4,2010-1,25,26,72
2483,1,2016-1,39,27,34
4025,2,2013-1,41,28,55
1725,4,2021-2,36,29,23
5013,3,2013-2,50,30,68
3150,1,2017-1,37,1,43
5197,3,2017-2,45,2,70
2399,1,2013-1,43,3,33
2184,2,2009-1,48,4,30
2039,1,2009-2,40,5,28
3399,4,2010-2,23,6,47
4155,2,2009-2,40,7,57
3080,1,2017-1,21,8,42
961,1,2008-1,45,9,14
3934,1,2009-2,29,10,54
4796,1,2013-1,22,11,65
2154,4,2019-1,36,12,29
2058,1,2013-2,38,13,28
679,2,2009-2,30,14,10
2101,1,2008-1,20,15,29
2489,1,2017-2,34,16,34
1070,2,2015-1,36,17,15
1146,1,2014-1,24,18,16
1491,3,2020-1,38,19,20
4886,1,2017-1,24,20,66
3151,2,2017-1,42,21,43
1141,3,2012-1,48,22,16
3821,1,2018-1,23,23,52
4189,2,2017-1,43,24,57
4565,1,2014-2,49,25,62
2451,3,2009-1,26,26,34
5341,1,2014-2,24,27,72
4712,3,2011-2,20,28,64
1566,4,2018-1,20,29,21
5593,4,2018-2,42,30,75
438,1,2019-1,29,1,6
1497,3,2021-1,42,2,20
2098,1,2022-2,40,3,28
3503,4,2014-2,20,4,48
2954,3,2020-1,29,5,40
2073,1,2017-1,50,6,28
546,2,2013-1,50,7,8
148,4,2020-1,32,8,2
4298,3,2008-1,47,9,59
5250,3,2013-1,32,10,71
2802,1,2008-1,44,11,39
3621,2,2009-1,44,12,50
2324,1,2009-2,44,13,32
2443,2,2022-2,37,14,33
712,1,2016-2,33,15,10
4152,2,2009-1,27,16,57
5636,2,2013-2,41,17,76
1130,4,2010-1,43,18,16
3570,1,2013-1,21,19,49
1713,1,2019-2,42,20,23
5584,3,2017-2,41,21,75
128,1,2016-1,45,22,2
1351,3,2008-1,41,23,19
5491,2,2016-1,41,24,74
4141,1,2022-1,33,25,56
5282,1,2018-2,47,26,71
1931,1,2020-1,39,27,26
4866,2,2012-2,31,28,66
506,1,2018-2,41,29,7
1015,2,2019-2,38,30,14
5462,3,2011-1,30,1,74
2056,3,2013-1,44,2,28
2557,3,2016-2,44,3,35
3709,3,2010-2,27,4,51
997,1,2016-2,38,5,14
4825,4,2018-2,32,6,65
4645,4,2013-1,21,7,63
155,2,2021-2,45,8,2
1069,1,2015-1,46,9,15
4208,2,2021-1,35,10,57
1106,1,2021-2,43,11,15
1537,2,2013-1,35,12,21
1305,3,2013-1,25,13,18
3117,3,2010-2,36,14,43
3587,2,2016-2,47,15,49
5742,3,2019-2,35,16,77
4635,3,2011-2,33,17,63
3355,1,2016-2,28,18,46
3443,1,2018-2,41,19,47
3778,2,2009-2,22,20,52
345,1,2016-2,22,21,5
4722,3,2013-1,24,22,64
1953,3,2008-2,31,23,27
3416,2,2013-2,30,24,47
4738,1,2016-2,35,25,64
4512,2,2018-2,38,26,61
539,1,2011-2,30,27,8
1278,4,2008-2,50,28,18
4198,2,2019-2,40,29,57
2197,1,2012-1,29,30,30
460,2,2008-1,28,1,7
3312,1,2022-2,26,2,45
3647,4,2014-1,42,3,50
2894,3,2011-1,46,4,40
5611,1,2022-2,30,5,75
1564,2,2018-1,38,6,21
1606,2,2012-1,44,7,22
4404,1,2012-2,26,8,60
1251,3,2019-1,25,9,17
1834,1,2013-2,20,10,25
3747,1,2018-1,21,11,51
4516,2,2019-1,27,12,61
1142,4,2012-1,50,13,16
208,3,2019-1,34,14,3
35,1,2013-2,44,15,1
424,2,2017-1,34,16,6
5463,1,2011-2,24,17,74
4311,2,2010-2,28,18,59
4689,2,2022-2,35,19,63
4284,1,2021-1,34,20,58
5168,1,2012-2,48,21,70
4731,1,2015-2,23,22,64
2094,3,2021-2,33,23,28
4961,1,2017-1,22,24,67
3491,3,2013-1,35,25,48
1228,1,2015-1,31,26,17
3908,2,2020-1,42,27,53
1268,1,2022-1,23,28,17
1177,1,2019-2,46,29,16
2953,2,2020-1,40,30,40
4817,3,2017-2,22,1,65
3623,2,2009-2,20,2,50
5354,1,2017-1,45,3,72
3743,1,2017-1,28,4,51
5486,4,2015-1,28,5,74
3097,2,2021-2,36,6,42
1747,2,2011-2,31,7,24
3450,4,2019-2,24,8,47
4134,4,2020-1,40,9,56
4687,3,2022-1,28,10,63
4482,2,2012-1,43,11,61
1783,3,2018-1,39,12,24
5581,2,2017-1,22,13,75
5400,3,2014-1,38,14,73
2721,3,2021-2,31,15,37
2858,3,2019-1,24,16,39
4818,1,2018-1,48,17,65
3488,3,2012-2,38,18,48
2310,4,2020-2,38,19,31
3741,1,2016-2,23,20,51
4392,2,2010-2,50,21,60
1629,1,2016-2,43,22,22
3988,1,2020-1,33,23,54
614,1,2012-1,28,24,9
3412,1,2013-1,45,25,47
4263,2,2016-2,21,26,58
1625,1,2016-1,37,27,22
4026,3,2013-1,30,28,55
3244,2,2022-2,32,29,44
5726,4,2017-1,26,30,77
4085,2,2011-1,47,1,56
2113,1,2010-2,24,2,29
793,2,2019-1,38,3,11
3738,1,2016-1,32,4,51
4416,2,2014-1,34,5,60
3406,1,2012-1,49,6,47
3761,3,2020-2,41,7,51
3571,2,2013-1,49,8,49
3367,2,2019-1,40,9,46
1419,2,2021-1,20,10,19
1879,1,2008-2,32,11,26
3063,2,2013-2,25,12,42
3533,2,2021-1,48,13,48
2743,2,2010-2,45,14,38
4763,1,2020-1,28,15,64
5001,2,2011-1,23,16,68
2400,2,2013-1,37,17,33
1991,1,2015-1,48,18,27
3669,1,2017-2,44,19,50
3944,4,2011-1,48,20,54
2581,2,2022-1,21,21,35
4167,2,2012-1,43,22,57
2813,1,2010-2,32,23,39
1628,4,2016-1,25,24,22
2178,3,2008-1,34,25,30
5678,3,2008-1,29,26,77
4536,3,2008-1,29,27,62
3319,4,2008-2,38,28,46
2732,3,2009-1,40,29,38
1409,2,2019-1,39,30,19
2857,2,2019-1,47,1,39
2631,2,2017-2,25,2,36
4073,2,2008-2,21,3,56
3528,3,2020-1,45,4,48
5303,4,2022-1,49,5,71
1307,1,2013-2,38,6,18
4481,1,2012-1,28,7,61
5397,1,2013-2,34,8,73
3045,4,2010-1,32,9,42
1311,1,2014-1,34,10,18
5131,1,2019-2,34,11,69
5386,1,2011-1,29,12,73
3166,3,2020-1,37,13,43
3836,1,2021-1,42,14,52
4468,1,2009-2,33,15,61
2868,1,2020-2,22,16,39
702,1,2014-1,22,17,10
3010,1,2017-2,49,18,41
3582,1,2015-2,28,19,49
5599,3,2019-2,30,20,75
850,2,2015-2,50,21,12
5290,1,2020-2,21,22,71
2385,2,2008-2,49,23,33
1719,2,2021-1,49,24,23
540,2,2011-2,35,25,8
996,1,2016-1,20,26,14
648,2,2018-1,26,27,9
3659,4,2015-2,26,28,50
5383,4,2010-1,41,29,73
3169,2,2020-2,43,30,43
3847,4,2008-1,50,1,53
3006,1,2017-1,42,2,41
5367,3,2021-2,41,3,72
4436,3,2017-2,33,4,60
564,1,2016-2,25,5,8
4656,4,2015-1,35,6,63
2933,1,2017-1,40,7,40
1018,2,2020-1,46,8,14
2727,4,2008-1,29,9,38
2738,1,2010-1,35,10,38
1624,3,2015-2,20,11,22
297,4,2021-2,33,12,4
5150,1,2008-2,50,13,70
1873,1,2021-2,27,14,25
5419,1,2017-2,49,15,73
2929,4,2016-1,26,16,40
2138,3,2016-2,24,17,29
4212,1,2022-1,40,18,57
212,3,2020-1,42,19,3
5644,2,2015-2,37,20,76
1651,1,2020-2,35,21,22
2373,4,2020-1,41,22,32
3116,2,2010-2,34,23,43
1686,1,2013-1,23,24,23
4302,3,2008-2,35,25,59
4569,2,2015-1,50,26,62
233,2,2009-2,47,27,4
3685,1,2021-1,37,28,50
4359,3,2018-2,33,29,59
4014,1,2010-2,31,30,55
4918,4,2008-1,43,1,67
5043,1,2019-1,37,2,68
4493,1,2014-1,45,3,61
3207,1,2015-1,29,4,44
3081,1,2017-2,45,5,42
46,2,2016-1,42,6,1
694,3,2011-2,34,7,10
4852,1,2009-2,49,8,66
2712,2,2020-1,25,9,37
1532,3,2012-1,36,10,21
3724,3,2013-1,49,11,51
3100,1,2022-1,28,12,42
4365,2,2020-1,23,13,59
4916,2,2008-1,50,14,67
2980,2,2011-1,30,15,41
2774,1,2017-2,48,16,38
3771,3,2008-2,39,17,52
1797,2,2021-1,22,18,24
1396,3,2016-1,31,19,19
3851,3,2009-1,21,20,53
5044,2,2019-1,27,21,68
5562,3,2014-1,46,22,75
1924,1,2018-1,21,23,26
2538,2,2012-2,49,24,35
2131,3,2015-1,38,25,29
2418,1,2016-2,24,26,33
5240,1,2011-2,38,27,71
3454,1,2020-2,31,28,47
2107,2,2009-1,20,29,29
4153,3,2009-1,36,30,57
1190,2,2008-2,43,1,17
3132,1,2013-2,46,2,43
3299,2,2019-2,25,3,45
1054,2,2012-1,47,4,15
2672,1,2012-2,43,5,37
388,2,2009-2,30,6,6
2974,3,2009-1,40,7,41
733,1,2021-1,34,8,10
1525,1,2011-1,35,9,21
858,2,2017-1,36,10,12
5020,2,2015-1,23,11,68
1148,3,2014-1,46,12,16
4092,1,2012-2,25,13,56
3940,1,2010-2,28,14,54
1518,4,2009-2,35,15,21
2233,1,2020-1,20,16,30
966,2,2009-1,36,17,14
2239,3,2021-1,33,18,30
4390,1,2010-1,21,19,60
411,2,2014-2,28,20,6
5358,1,2019-1,20,21,72
5635,1,2013-2,45,22,76
2153,3,2019-1,38,23,29
1061,2,2013-2,49,24,15
4337,1,2015-2,22,25,59
4295,3,2022-2,46,26,58
5589,4,2018-1,40,27,75
752,2,2011-2,35,28,11
5008,1,2012-2,27,29,68
2904,2,2012-2,41,30,40
1971,3,2011-1,28,1,27
48,1,2016-2,38,2,1
676,1,2009-1,31,3,10
301,1,2022-2,36,4,4
2976,1,2010-1,24,5,41
1911,2,2015-1,35,6,26
3588,1,2017-1,37,7,49
950,1,2021-1,43,8,13
3058,2,2012-2,33,9,42
3780,2,2010-1,43,10,52
4833,4,2020-1,39,11,65
3765,1,2022-1,49,12,51
5198,1,2018-1,27,13,70
304,1,2008-2,49,14,5
274,4,2018-1,36,15,4
3540,2,2022-1,23,16,48
3894,1,2017-1,30,17,53
994,3,2015-2,22,18,14
968,1,2009-2,36,19,14
3240,2,2022-1,20,20,44
5487,1,2015-2,22,21,74
3305,1,2021-1,28,22,45
5104,3,2014-1,32,23,69
1365,2,2011-2,23,24,19
154,1,2021-2,49,25,2
1711,1,2019-1,24,26,23
1286,1,2010-1,28,27,18
1074,1,2016-1,30,28,15
108,1,2011-2,29,29,2
2910,1,2013-2,50,30,40
735,3,2021-1,48,1,10
3107,2,2008-2,41,2,43
5291,2,2020-2,26,3,71
2572,4,2019-1,50,4,35
3055,3,2011-2,44,5,42
3641,2,2013-1,32,6,50
329,4,2013-2,49,7,5
4075,2,2009-1,35,8,56
5703,4,2013-1,29,9,77
3142,4,2015-1,32,10,43
1523,3,2010-2,25,11,21
1006,2,2018-1,33,12,14
5688,1,2010-2,42,13,77
1102,1,2021-1,48,14,15
4297,2,2008-1,44,15,59
4439,3,2018-1,25,16,60
5665,4,2020-1,28,17,76
5247,3,2012-2,33,18,71
2670,3,2012-1,21,19,37
1284,3,2009-2,39,20,18
1798,3,2021-1,37,21,24
3735,2,2015-1,21,22,51
436,3,2018-2,48,23,6
5710,2,2014-2,42,24,77
2164,3,2021-1,49,25,29
5153,2,2009-1,21,26,70
2104,3,2008-2,20,27,29
11,4,2009-1,29,28,1
1729,4,2022-1,26,29,23
5553,4,2012-2,23,30,75
2932,3,2016-2,25,1,40
1361,1,2011-1,26,2,19
3929,4,2008-2,20,3,54
4999,3,2010-2,44,4,68
1763,1,2014-2,26,5,24
1922,3,2017-2,38,6,26
1380,1,2013-2,43,7,19
2394,2,2011-1,30,8,33
2972,1,2009-1,27,9,41
4231,2,2010-1,40,10,58
2488,1,2017-1,49,11,34
5429,1,2019-2,45,12,73
4182,1,2015-1,20,13,57
24,3,2011-2,35,14,1
2021,2,2020-2,39,15,27
1442,1,2009-2,22,16,20
3939,2,2010-1,47,17,54
3217,4,2016-2,30,18,44
2635,2,2018-2,36,19,36
5075,2,2009-2,28,20,69
1242,2,2017-2,37,21,17
2148,2,2018-2,20,22,29
5134,2,2020-1,46,23,69
5053,2,2020-2,45,24,68
393,2,2011-1,44,25,6
1110,3,2022-2,39,26,15
5601,2,2020-1,38,27,75
2530,2,2011-1,29,28,35
2110,3,2009-2,43,29,29
2372,3,2020-1,41,30,32
2766,2,2015-2,49,1,38
3459,1,2022-1,42,2,47
897,2,2011-1,32,3,13
920,1,2015-2,36,4,13
2187,1,2009-2,23,5,30
570,2,2018-1,28,6,8
5738,3,2019-1,37,7,77
3273,1,2014-1,31,8,45
1730,1,2022-2,21,9,23
4409,2,2013-1,42,10,60
4572,2,2015-2,39,11,62
2734,1,2009-2,43,12,38
4232,3,2010-1,23,13,58
1527,1,2011-2,31,14,21
2398,1,2012-2,25,15,33
152,1,2021-1,43,16,2
945,2,2019-2,39,17,13
1844,4,2015-1,36,18,25
5539,2,2010-1,22,19,75
3823,3,2018-1,48,20,52
4575,1,2016-2,26,21,62
4158,1,2010-1,46,22,57
4643,2,2013-1,20,23,63
1934,4,2020-1,43,24,26
704,3,2014-1,31,25,10
5616,2,2009-1,46,26,76
2331,3,2010-2,21,27,32
4355,2,2018-1,48,28,59
3062,1,2013-2,33,29,42
1891,4,2010-1,22,30,26
1558,2,2017-1,45,1,21
474,3,2010-2,28,2,7
4313,1,2011-1,46,3,59
4630,1,2010-2,39,4,63
2045,1,2011-1,33,5,28
2861,2,2019-2,43,6,39
4629,1,2010-1,50,7,63
2793,3,2021-2,49,8,38
1269,2,2022-1,25,9,17
4725,3,2013-2,26,10,64
377,3,2022-2,21,11,5
2705,4,2018-2,42,12,37
3870,2,2012-2,50,13,53
2223,3,2018-1,33,14,30
2379,4,2021-1,47,15,32
3937,4,2009-2,23,16,54
5410,1,2016-1,48,17,73
67,3,2019-2,50,18,1
5709,1,2014-2,28,19,77
5328,1,2012-1,34,20,72
3232,4,2019-2,30,21,44
5017,2,2014-2,41,22,68
4186,1,2016-1,40,23,57
1320,3,2015-2,48,24,18
1180,1,2021-1,31,25,16
163,4,2008-1,24,26,3
4112,1,2016-1,32,27,56
1167,3,2017-2,42,28,16
2196,1,2011-2,49,29,30
277,3,2018-2,26,30,4
5509,2,2019-2,47,1,74
4299,4,2008-1,26,2,59
1728,3,2022-1,37,3,23
4600,1,2020-2,31,4,62
2080,1,2018-2,25,5,28
2762,1,2014-2,42,6,38
4329,1,2014-1,24,7,59
2013,2,2019-1,32,8,27
2737,4,2009-2,39,9,38
2313,2,2021-2,28,10,31
4447,2,2019-2,24,11,60
4124,3,2018-1,27,12,56
2066,3,2015-2,49,13,28
1052,2,2011-2,31,14,15
1990,2,2014-2,47,15,27
1806,3,2022-2,36,16,24
3035,1,2008-2,35,17,42
1246,1,2018-2,20,18,17
1795,2,2020-2,27,19,24
657,1,2020-2,30,20,9
2255,1,2009-2,41,21,31
3620,1,2009-1,38,22,50
1283,2,2009-2,31,23,18
4702,3,2010-1,29,24,64
2539,3,2012-2,20,25,35
5306,1,2008-1,30,26,72
1424,3,2022-1,33,27,19
1739,3,2009-2,40,28,24
3694,2,2022-2,28,29,50
433,4,2018-1,21,30,6
3386,1,2008-2,35,1,47
276,2,2018-2,25,2,4
3966,2,2015-2,43,3,54
1777,3,2017-1,42,4,24
4604,1,2021-1,44,5,62
4101,1,2014-2,34,6,56
3640,1,2013-1,39,7,50
3630,1,2011-1,45,8,50
398,3,2012-1,35,9,6
1961,3,2009-2,50,10,27
